"Statistical indicator","Administrator unit","2010","2011","2012","2013","2014","2015","2016","2017"
"Fraud of property","Ulaanbaatar","592","547","920","1,014","1,562","1,788","1,908","2,659"
"Fraud of property","Baganuur","5","3","5","9","2","17","12","17"
"Fraud of property","Bagakhangai","","1","","","","","2","3"
"Fraud of property","Bayangol","147","113","268","242","375","418","484","511"
"Fraud of property","Bayanzurkh","132","113","143","210","322","353","385","635"
"Fraud of property","Nalaikh","12","1","8","9","8","11","15","21"
"Fraud of property","Songinokhairkhan","63","94","86","121","152","158","174","286"
"Fraud of property","Sukhbaatar","76","88","201","181","312","409","356","613"
"Fraud of property","Khan-Uul","44","24","50","51","103","131","190","196"
"Fraud of property","Chingeltei","113","110","159","191","288","291","290","377"
"Forgery","Ulaanbaatar","139","103","146","193","180","201","193","221"
"Forgery","Baganuur","3","1","7","3","5","7","4","1"
"Forgery","Bagakhangai","","","","2","1","","1",""
"Forgery","Bayangol","34","26","36","35","31","46","36","43"
"Forgery","Bayanzurkh","23","15","27","39","34","42","38","44"
"Forgery","Nalaikh","1","4","1","5","","4","5","2"
"Forgery","Songinokhairkhan","17","6","22","18","22","21","24","29"
"Forgery","Sukhbaatar","19","18","22","42","30","35","37","35"
"Forgery","Khan-Uul","27","14","12","33","39","31","26","36"
"Forgery","Chingeltei","15","19","19","16","18","15","22","31"
"Economic crimes","Ulaanbaatar","999","1,290","1,277","1,474","350","460","",""
"Economic crimes","Baganuur","22","17","34","13","","","",""
"Economic crimes","Bagakhangai","5","1","","6","","","",""
"Economic crimes","Bayangol","212","241","172","217","63","109","",""
"Economic crimes","Bayanzurkh","273","331","370","420","77","102","",""
"Economic crimes","Nalaikh","26","31","27","24","50","2","",""
"Economic crimes","Songinokhairkhan","184","231","225","318","50","41","",""
"Economic crimes","Sukhbaatar","82","160","126","170","61","42","",""
"Economic crimes","Khan-Uul","80","72","81","101","40","21","",""
"Economic crimes","Chingeltei","115","206","242","205","59","143","",""
"Crimes against public security ","Ulaanbaatar","999","1,290","1,277","1,474","1,371","1,277","1,209","568"
"Crimes against public security ","Baganuur","22","17","34","13","7","14","12","4"
"Crimes against public security ","Bagakhangai","5","1","","6","4","","1",""
"Crimes against public security ","Bayangol","212","241","172","217","259","243","265","131"
"Crimes against public security ","Bayanzurkh","273","331","370","420","420","352","295","131"
"Crimes against public security ","Nalaikh","26","31","27","24","13","10","16","18"
"Crimes against public security ","Songinokhairkhan","184","231","225","318","252","228","207","101"
"Crimes against public security ","Sukhbaatar","82","160","126","170","159","201","208","78"
"Crimes against public security ","Khan-Uul","80","72","81","101","92","82","96","47"
"Crimes against public security ","Chingeltei","115","206","242","205","165","147","109","58"
"Crimes against public health ","Ulaanbaatar","148","123","154","156","169","217","266","209"
"Crimes against public health ","Baganuur","15","7","10","13","12","11","7","5"
"Crimes against public health ","Bayangol","8","10","25","11","14","20","31","31"
"Crimes against public health ","Bayanzurkh","38","27","23","29","38","57","47","38"
"Crimes against public health ","Nalaikh","6","4","3","8","10","10","7","5"
"Crimes against public health ","Songinokhairkhan","16","18","16","31","33","60","69","34"
"Crimes against public health ","Sukhbaatar","15","15","22","21","26","24","38","37"
"Crimes against public health ","Khan-Uul","24","11","18","11","12","17","41","30"
"Crimes against public health ","Chingeltei","26","31","37","32","24","18","26","29"
"Crimes against environmental protection rules","Ulaanbaatar","40","41","52","45","31","46","22","41"
"Crimes against environmental protection rules","Baganuur","1","1","","1","1","4","","1"
"Crimes against environmental protection rules","Bagakhangai","","","","","","5","","1"
"Crimes against environmental protection rules","Bayangol","","","","2","2","1","3","6"
"Crimes against environmental protection rules","Bayanzurkh","14","6","13","7","5","5","4","7"
"Crimes against environmental protection rules","Nalaikh","3","6","7","7","4","12","5","4"
"Crimes against environmental protection rules","Songinokhairkhan","20","21","27","21","15","7","2","11"
"Crimes against environmental protection rules","Sukhbaatar","2","2","","1","2","4","5","4"
"Crimes against environmental protection rules","Khan-Uul","","2","1","2","1","6","2","6"
"Crimes against environmental protection rules","Chingeltei","","3","4","4","1","2","1","1"
"Crimes against the rules of safety of traffic and use of motor vehicles","Ulaanbaatar","955","1,008","1,105","1,211","1,062","1,068","912","652"
"Crimes against the rules of safety of traffic and use of motor vehicles","Baganuur","9","11","15","19","16","20","36","11"
"Crimes against the rules of safety of traffic and use of motor vehicles","Bagakhangai","","3","2","4","4","5","3","3"
"Crimes against the rules of safety of traffic and use of motor vehicles","Bayangol","194","215","188","222","198","181","131","96"
"Crimes against the rules of safety of traffic and use of motor vehicles","Bayanzurkh","195","230","223","260","213","192","183","137"
"Crimes against the rules of safety of traffic and use of motor vehicles","Nalaikh","18","20","25","20","30","26","30","18"
"Crimes against the rules of safety of traffic and use of motor vehicles","Songinokhairkhan","189","196","230","208","198","262","212","167"
"Crimes against the rules of safety of traffic and use of motor vehicles","Sukhbaatar","189","158","222","228","150","133","119","70"
"Crimes against the rules of safety of traffic and use of motor vehicles","Khan-Uul","69","79","93","114","137","107","90","88"
"Crimes against the rules of safety of traffic and use of motor vehicles","Chingeltei","92","96","107","136","116","142","108","62"
